contractSymbol, currentPrice,recordTime
ANTM,499.33,2022-04-04 00:48:13.257696
C,52.33,2022-04-04 00:48:24.686965
PYPL,116.67,2022-04-04 00:48:35.681197
PLD,165.8,2022-04-04 00:48:46.421670
GS,330.22,2022-04-04 00:48:58.107811
AMAT,127.41,2022-04-04 00:49:09.469176
CAT,219.77,2022-04-04 00:49:21.129805
AMT,256.95,2022-04-04 00:49:31.669229
DE,416.8,2022-04-04 00:49:42.708911
ISRG,305.54,2022-04-04 00:49:55.016103
NOW,548.69,2022-04-04 00:50:05.749658
TGT,210.54,2022-04-04 00:50:18.071359
AXP,187.17,2022-04-04 00:50:29.255710
SBUX,91.49,2022-04-04 00:50:40.803195
MO,52.71,2022-04-04 00:50:51.440943
BLK,769.76,2022-04-04 00:51:03.242267
GE,92.49,2022-04-04 00:51:15.119896
BA,190.76,2022-04-04 00:51:26.819921
ZTS,191.11,2022-04-04 00:51:37.522266
ADP,233.5,2022-04-04 00:51:49.578658
MDLZ,63.53,2022-04-04 00:52:00.649947
CB,216.55,2022-04-04 00:52:11.709171
SYK,269.05,2022-04-04 00:52:23.095966
MU,76.18,2022-04-04 00:52:33.824839
CME,239.82,2022-04-04 00:52:44.479845
MMM,149.69,2022-04-04 00:52:55.779197
CSX,35.51,2022-04-04 00:53:06.913206
DUK,112.82,2022-04-04 00:53:20.024198
BDX,262.5,2022-04-04 00:53:31.670412
CI,246.25,2022-04-04 00:53:42.728808
ADI,165.36,2022-04-04 00:53:53.205960
MMC,171.68,2022-04-04 00:54:04.757559
CCI,189.04,2022-04-04 00:54:15.561246
PNC,181.14,2022-04-04 00:54:26.277898
GILD,59.67,2022-04-04 00:54:38.401733
TFC,55.33,2022-04-04 00:54:50.307124
BKNG,2367.83,2022-04-04 00:55:01.911280
ICE,132.7,2022-04-04 00:55:12.736007
SO,74.12,2022-04-04 00:55:23.611290
TMUS,130.76,2022-04-04 00:55:35.153857
USB,52.9,2022-04-04 00:55:46.265689
NOC,454.79,2022-04-04 00:55:57.588059
TJX,60.89,2022-04-04 00:56:09.365079
EOG,120.33,2022-04-04 00:56:21.211326
FCX,50.96,2022-04-04 00:56:33.542131
LRCX,525.45,2022-04-04 00:56:44.343406
CHTR,561.68,2022-04-04 00:56:56.011680
NSC,265.84,2022-04-04 00:57:06.888472
EW,123.07,2022-04-04 00:57:17.839585
D,86.33,2022-04-04 00:57:29.496183
REGN,694.83,2022-04-04 00:57:41.140002
CL,76.42,2022-04-04 00:57:53.852877
AON,328.83,2022-04-04 00:58:04.758021
EQIX,763,2022-04-04 00:58:15.148356
F,16.65,2022-04-04 00:58:26.520071
ATVI,80.82,2022-04-04 00:58:37.271258
PGR,115.19,2022-04-04 00:58:47.726978
HCA,250.75,2022-04-04 00:58:59.690405
NEM,82.78,2022-04-04 00:59:10.975032
EL,274.41,2022-04-04 00:59:22.000334
BSX,44.99,2022-04-04 00:59:33.743972
WM,159.81,2022-04-04 00:59:45.241994
VRTX,266.15,2022-04-04 00:59:57.077415
ITW,210.15,2022-04-04 01:00:08.545652
SLB,41.69,2022-04-04 01:00:19.682854
SHW,255.21,2022-04-04 01:00:30.815428
ETN,151.81,2022-04-04 01:00:42.294116
GM,42.96,2022-04-04 01:00:54.209420
PSA,396.51,2022-04-04 01:01:04.929732
GD,242.51,2022-04-04 01:01:18.224323
FISV,102.99,2022-04-04 01:01:29.675582
HUM,441.41,2022-04-04 01:01:40.736755
EMR,98.42,2022-04-04 01:01:52.298514
PXD,253.15,2022-04-04 01:02:03.936524
LHX,253.17,2022-04-04 01:02:15.525306
COF,130.89,2022-04-04 01:02:26.480920
FIS,103.37,2022-04-04 01:02:36.887380
MCO,340.33,2022-04-04 01:02:48.296929
ILMN,363.9,2022-04-04 01:03:00.087049
FDX,221.25,2022-04-04 01:03:11.630859
OXY,58.11,2022-04-04 01:03:22.932205
APD,248.99,2022-04-04 01:03:34.011560
CNC,85.51,2022-04-04 01:03:44.679555
