contractSymbol, currentPrice,recordTime
BDX,265.67,2022-03-27 23:46:00.796599
CI,243.58,2022-03-27 23:46:11.887090
ADI,165.63,2022-03-27 23:46:23.145673
MMC,166.11,2022-03-27 23:46:34.052930
CCI,177.58,2022-03-27 23:46:45.431383
PNC,196.47,2022-03-27 23:46:56.740734
GILD,58.91,2022-03-27 23:47:07.260161
TFC,60.11,2022-03-27 23:47:19.458108
BKNG,2247.93,2022-03-27 23:47:30.656985
ICE,135.26,2022-03-27 23:47:41.280450
SO,70.93,2022-03-27 23:47:51.121339
TMUS,124.29,2022-03-27 23:48:02.344523
USB,57.12,2022-03-27 23:48:13.089407
NOC,458.18,2022-03-27 23:48:24.142024
TJX,61.29,2022-03-27 23:48:35.715958
EOG,124.51,2022-03-27 23:48:46.722648
FCX,51.93,2022-03-27 23:48:58.539248
LRCX,554.82,2022-03-27 23:49:10.004414
CHTR,558.26,2022-03-27 23:49:21.625308
NSC,283.36,2022-03-27 23:49:32.270413
EW,112.37,2022-03-27 23:49:43.008574
D,83.97,2022-03-27 23:49:53.427447
REGN,680.03,2022-03-27 23:50:04.952614
CL,74.78,2022-03-27 23:50:16.331143
AON,322.94,2022-03-27 23:50:28.123102
EQIX,710.14,2022-03-27 23:50:38.511616
F,16.47,2022-03-27 23:50:49.228685
ATVI,79.6,2022-03-27 23:51:01.288041
PGR,116.67,2022-03-27 23:51:13.111245
HCA,260.08,2022-03-27 23:51:24.311705
NEM,78.95,2022-03-27 23:51:35.393216
EL,274.89,2022-03-27 23:51:47.255140
BSX,43.5,2022-03-27 23:51:59.060488
WM,156.28,2022-03-27 23:52:10.243682
VRTX,253.95,2022-03-27 23:52:22.487268
ITW,211.75,2022-03-27 23:52:33.090173
SLB,43.68,2022-03-27 23:52:43.516000
SHW,245.21,2022-03-27 23:52:54.900674
ETN,154.18,2022-03-27 23:53:06.310802
GM,43.65,2022-03-27 23:53:17.495773
PSA,376,2022-03-27 23:53:28.286847
GD,244.36,2022-03-27 23:53:38.879620
FISV,100.51,2022-03-27 23:53:50.781911
HUM,435.54,2022-03-27 23:54:01.806386
EMR,98.51,2022-03-27 23:54:12.922656
PXD,256.71,2022-03-27 23:54:24.048529
LHX,257.85,2022-03-27 23:54:35.304951
COF,135.88,2022-03-27 23:54:46.775459
FIS,97.45,2022-03-27 23:54:58.146474
MCO,330.51,2022-03-27 23:55:08.615442
ILMN,341.72,2022-03-27 23:55:19.748138
FDX,226.56,2022-03-27 23:55:31.008377
OXY,58.71,2022-03-27 23:55:42.160860
APD,246.56,2022-03-27 23:55:53.110719
CNC,85.59,2022-03-27 23:56:03.331324
